Кандзи,Значение,On,Kun,Номер,例,Level
木,дерево,モク・ボク,き,63,木曜日・,5
多,много,タ,おお-い,64,多分・,5
足,нога,ソク,あし・た-りる,65,手足・,5
金,золото; деньги,キン・コン,かね,66,金持ち・金曜日・,5
高,высокий,コウ,たか-い,67,高校・,5
母,мать,ボ,はは,68,祖母・,5
天,небо; погода,テン,あま,69,天気・天の川,5
父,отец,フ,ちち,70,祖父,5
食,еда,ショク,た-べる・く-う,71,食べ物・,5
川,река,セン,かわ,72,,5
語,язык; слово,ゴ,かた-る,73,物語・,5
社,компания; святилище; общество,シャ,やしろ,74,,5
校,школа,コウ・キョウ,―,75,,5
花,цветок,カ,はな,76,花瓶,5
車,машина; повозка; колёсное транспортное средство,シャ,くるま,77,,5
古,старый,コ,ふる-い,78,,5
火,огонь,カ,ひ,79,火曜日・,5
土,земля; почва,ト・ド,つち,80,,5
東,восток,トウ,ひがし,81,東方・東京,5
安,дешёвый; спокойный; безопасный,アン,やす-い,82,,5
半,половина,ハン,なかば,83,,5
読,читать,ドク・トク,よ-む,84,,5
右,право,ウ・ユウ,みぎ,85,,5
左,лево,サ,ひだり,86,,5
西,запад,セイ・サイ・ス,にし,87,,5
友,друг,ユウ,とも,88,友人・友達,5
電,электричество,デン,―,89,,5
店,магазин,テン,みせ,90,店長,5
雨,дождь,ウ,あめ・あま,91,,5
北,север,ホク・ホッ,きた,92,北方・北海島,5
買,покупать,バイ,か-う,93,,5
耳,ухо,ジ,みみ,94,,5
南,юг,ナン,みなみ,95,,5
円,иена; круг; круглый,エン,まる・まる-い,96,,5
毎,каждый (день　и т. д.) ,マイ,ごと,97,,5
飲,пить,イン,の-む,98,,5
休,отдых,キュウ,やす-む・やす-み,99,,5
魚,рыба,ギョ,さかな,100,金魚・人魚,5
午,полдень; Лошадь,ゴ,うま,101,午後・午前,5
駅,Станция,エキ,―,102,駅前・駅員,5
週,неделя,シュウ,―,103,,5
思,думать; полагать,シ,おも-う,104,,5
事,дело; обстоятельство,ジ,こと,105,,4
私,я; свой; личный,シ,わたし・わたくし,106,,5
自,сам; лично; само собой; спонтанно,ジ,みずか-ら・おの-ずから,107,,4
方,сторона; направление; человек (вежливо),ホウ,かた,108,,4
者,человек; некто,シャ,もの,109,,4
心,сердце; чувство; сердцевина; центр,シン,こころ,110,,4
家,дом,カ・ケ,いえ・うち,111,,5
物,вещь,ブツ・モツ,もの,112,,4
文,текст; письменность; фраза; культура,ブン・モン,ふみ,113,,4
知,знания; знать; извещение; извещать,チ,しる・し-らせ・し-らせる,114,,5
作,создавать,サク・サ,つく-る,115,,4
合,соединять; подходить,ゴウ・ガッ,あう,116,合体・,4
持,иметь; держать (в руках),ジ,も-つ,117,,4
意,идея; мысль; мнение,イ,―,118,,4
地,земля; почва; местность,チ・ジ,―,119,,4
度,раз; градус; величина,ド,たび,120,,4
屋,дом; крыша,オク,や,121,,4
同,одинаковый; вышеупомянутый,ドウ,おな-じ,122,,4
不,не (говоря о чём-то плохом),フ・ブ,―,123,,4
力,сила,リョク・リキ,ちから,124,,4
所,место; учреждение,ショ,ところ,125,,4
明,яркий; очевидный; мудрость,メイ・ミョウ,あ-かり・あか-るい,126,,4
通,проходить; проезжать; общепринятый; знаток; улица,ツウ,とお-る・とお-り・とお-す・かよ-う,127,,4
代,менять местами; эпоха; плата,ダイ,か-わる・か-える,128,,4
顔,лицо,ガン,かお,129,,4
理,разум; принцип; закон; теория; управление чем-то,リ,(ことわり),130,,4
世,мир; эпоха; поколение,セ・セイ,よ,131,,4
場,место; рынок; физ. поле,ジョウ,ば,132,,4
田,рисовое поле,デン,た,133,,4
主,хозяин,シュ,ぬし・おも,134,,4
考,размышлять,コウ,かんが-える,135,,4
正,верный; правильный; справедливый,セイ・ショウ,ただ-しい・まさ-に・ただ-す,136,,4
動,двигаться; работать,ドウ,うご-く・うご-かす,137,,4
風,ветер; вид; манера; обычаи,フウ,かぜ,138,台風・,4
体,тело; вещество; корпус,タイ・(テイ),からだ,139,,4
声,голос,セイ・ショウ,こえ,140,,4
夜,ночь,ヤ,よる,141,,5
青,синий; голубой,セイ,あお・あお-い,142,,4
味,вкус,ミ,あじ・あじ-わう,143,,4
切,резать,セツ・セイ,き-る・き-れる,144,,4
近,близкий,キン,ちか-い,145,,4
色,цвет,ショク、シキ,いろ,146,,4
発,испускать; выпускать; публиковать; отправляться; выходить,ハツ,はっ-する,147,,4
以,посредством; префикс направления,イ,(もって),148,,4
真,правда; истина,シン,まこと,149,真実・,4
用,использовать; дело,ヨウ,(もち-いる),150,,4
頭,голова,トウ・ズ,あたま・かしら・かぶり ,151,,4
死,смерть,シ,し-ぬ,152,,4
引,тянуть,イン,ひ-く,153,,4
太,толстый; большой; великий,タイ,ふと-い・ふと-る,154,,4
音,звук,オン・イン,おと・ね,155,,4
親,родитель; родство; дружба; близость,シン,おや・した-しい ・した-しむ,156,,4
帰,возвращаться,キ,かえ-る・かえ-す,157,,4
野,поле; дикий,ヤ,の,158,,4
歩,шагать,ホ・ブ,ある-く・あゆ-む,159,,5
仕,служить; делать,シ,つか-える,160,,4
問,вопрос,モン,と-う,161,,4
教,учить; преподавать,キョウ,おし-える・おそ-わる,162,,4
有,быть; иметь,ユウ・ウ,あ-る,163,,5
着,надевать; носить; прибывать; прилипать,チャク・ジャク,つ-く・き-る・き-せる,164,,4
悪,плохой,アク・オ,わる-い,165,,4
好,нравиться,コウ,この-む・す-き,166,,4
別,другой; отделяться; расставаться,ベツ,わか-れる・わ-ける,167,,4
光,свет; сияние,コウ,ひかり・ひか-る,168,,4
村,деревня,ソン,むら,169,,4
門,ворота,モン,かど,170,,4
重,тяжёлый,ジュウ・チョウ,おも-い・かさ-ねる・ かさ-なる,171,,4
起,вставать; случаться; будить,キ,お-きる・お-こる・お-こす ,172,,4
説,объяснять; убеждать; теория,セツ,と-く,173,,4
字,буква; знак,ジ,あざ,174,,4
朝,утро,チョウ,あさ,175,,5
早,рано; быстро,ソウ,はや-い・はや-まる・はや-める,176,,4
海,море,カイ,うみ,177,,4
町,город (небольшой),チョウ,まち,178,,4
開,открывать,カイ,ひら-く・あ-く・あ-ける,179,,4
集,собирать,シュウ,あつ-める・ あつ-まる,180,募集・,4
民,народ,ミン,(たみ),181,,4
強,сильный,キョウ・ゴウ,つよ-い・つよ-まる・つ よ-める,182,,4
待,ждать,タイ,ま-つ,183,,4
遠,далёкий,エン,とお-い,184,,4
紙,бумага,シ,かみ,185,,5
楽,удовольствие; музыка,ラク・ガク,たの-しい・たの-しむ,186,,4
題,заглавие; тема,ダイ,―,187,,4
使,пользоваться,シ,つか-う,188,,4
室,комната,シツ,むろ,189,,4
始,начинаться,シ,はじ-まり・はじ-める・はじ-まる,190,,4
黒,чёрный,コク,くろ・くろ-い,191,,4
品,товар; качество чего-либо,ヒン,しな,192,商品・,4
歌,песня,カ,うた・うた-う,193,,4
界,мир; граница; физ. поле,カイ,(さかい),194,,4
病,болеть,ビョウ,や-む・やま-い,195,,4
元,начало; исток; основа,ゲン・ガン,もと,196,,4
京,столица,キョー、ケイ,―,197,,4
急,спешить,キュウ,いそ-ぐ,198,,4
業,промышленность; дело,ギョウ,わざ,199,,4
進,продвигаться,シン,すす-む・すす-める,200,,4
赤,красный,セキ,あか・あか-い,201,,5
図,чертеж; план; карта; планировать; замышлять,ズ・ト,はか-る,202,,4
画,черта; картина; рисовать,ガ・カク,え・えが-く,203,,4
運,судьба; удача; перевозить; двигаться,ウン,はこ-ぶ,204,,4
特,особый,トク,とく-に,205,,4
質,качество; характер; материя; качественность,シツ,―,206,,4
終,конец,シュウ,おわ-り・おわ-る・お-える,207,,4
乗,ехать; умножать; возводить в степень,ジョウ,の-る・の-せる,208,,4
止,остановиться,シ,と-める・と-まる・や-める・や-む,209,,4
台,подставка; сцена; счетный суффикс машин,ダイ・タイ,―,210,,4
暗,тёмный,アン,くら-い,211,,4
去,уходить,キョ,さ-る,212,,4
首,шея; главный,シュ,くび,213,,4
茶,чай; беспорядок,チャ・サ,―,214,茶道・紅茶・日本茶・,4
兄,старший брат,キョウ,あに,215,,4
春,весна; страсть; эротика,シュン,はる,216,,4
答,ответ,トウ,こた-える・こた-え,217,,4
都,столица; город,ト・シ,みやこ,218,,4
工,ремесло; техника,コウ・ク,―,219,,4
計,мерить,ケイ,はかる,220,,4
走,бежать,ソウ,はし-る,221,,5
館,здание; дворец,カン,(やかた),222,,4
広,широкий,コウ,ひろ-い・ひろ-がる・ひろ-める ,223,,5
注,наливать; запись; заказ,チュウ,そそ-ぐ・つ-ぐ,224,,4
住,жить; проживать,ジュウ・ヂュウ・チュウ,す-む,225,,5
売,продавать,バイ,う-る,226,,4
旅,путешествие,リョ,たび,227,,4
働,работа,ドウ,はたら-く,228,,4
市,город (крупный); рынок,シ,いち,229,,4
服,одежда; подчинение,フク,―,230,,4
産,рождать; имущество,サン,う-む・う-まれる,231,,4
送,посылать; провожать,ソウ,おく-る,232,,4
洋,океан,ヨウ,―,233,,4
夕,вечер,セキ,ゆう,234,,5
秋,осень,シュウ,あき,235,,4
料,оплата; материал,リョウ,―,236,,4
鳥,птица,チョウ,とり,237,,4
林,роща,リン,はやし,238,,4
肉,мясо; телесный; физический,ニク,―,239,,4
回,раз; вращать,カイ,まわ-る・まわ-す,240,,4
院,учреждение; парламент,イン,―,241,,4
員,работник; сотрудник; член,イン,―,242,,4
弟,младший брат; ученик,テイ,おとうと,243,,4
族,семья; племя,ゾク,―,244,,4
軽,лёгкий,ケイ,かる-い,245,,4
銀,серебро,ギン,(しろがね),246,,5
転,катиться; падать; переходить во что-нибудь,テン,ころ-がる・ころ-がす・ころ-ぶ,247,,4
堂,зал,ドウ,―,248,,4
夏,лето,カ,なつ,249,,4
建,строить,ケン・コン,た-てる・た-つ,250,,4
究,исследовать,キュウ,きわ-める,251,,4
弱,слабый,ジャク,よわ-い・よわ-る・よわ-める,252,,4
研,точить; изучать,ケン,と-ぐ,253,,4
験,испытывать; проверять; опыт,ケン,ため-す ・ため-し,254,実験・,4
姉,старшая сестра,シ,あね,255,,4
写,копировать,シャ,うつ-す・うつ-る,256,,4
犬,собака,ケン,いぬ,257,,4
寒,холодный,カン,さむ-い,258,,4
飯,еда; варёный рис,ハン,めし,259,,4
医,доктор,イ,―,260,,4
森,лес,シン,もり,261,,4
習,учиться,シュウ,なら-う,262,,4
低,низкий,テイ,ひく-い,263,,4
映,отражаться,エイ,うつ-る・うつ-す,264,映画,4
英,Англия; талант,エイ,―,265,,4
冬,зима,トウ,ふゆ,266,,4
短,короткий; недостаток,タン,みじか-い,267,,4
妹,младшая сестра,マイ,いもうと,268,,4
牛,корова,ギュウ,うし,269,,4
便,удобство; почта; выделения,ベン・ビン,たよ-り,270,,4
試,испытание,シ,ためす・こころ-みる,271,,4
昼,день (дневное время),チュー,ひる,272,,5
薬,лекарство,ヤク,くすり,273,,4
借,брать взаймы,シャク,か-りる,274,,4
池,пруд; водоем,チ,いけ,275,,4
洗,мыть; стирать,セン,あら-う,276,,4
区,район,ク,―,277,,4
曜,день недели,ヨウ,―,278,,4
漢,китай,カン,―,279,漢字・,4
勉,стараться,ベン,つと-める,280,,4
暑,жаркий; горячий,ショ,あつ-い,281,,4
貸,одалживать,タイ,か-す,282,,4
県,префектура,ケン,―,283,,4
菜,овощи; зелень; закуска,サイ,な,284,,4
彼,он; тот,ヒ,かれ,285,,3
的,цель; суффикс для образования прилагательных,テキ,まと,286,,3
無,ничего; без,ム・ブ,な-い,287,,3
居,проживать; находиться,キョ,い-る・お-る,288,,3
様,вид; положение,ヨウ,さま,289,,3
御,уважительный префикс,ゴ・ギョ,お-・おん-・み-,290,,3
身,тело,シン,み,291,,3
実,реальность,ジツ,み・みの-る,292,,3
然,так; суффикс признака,ゼン・ネン,しか-し,293,,3
感,чувство,カン,かん-じる,294,,3
第,префикс перед числами; указывающий на порядковый номер,ダイ,―,295,第一話・第1・,4
面,лицо; поверхность; грань; сторона,メン,おもて・おも・つら,296,,3
当,этот; данный; правильный; выполнять обязанности,トウ,あ-たる・あ-てる,297,,3
君,ты,クン,きみ,298,,3
成,становиться; образовывать; расти; результат,セイ,な-る,299,成り上がり・,3
取,брать,シュ,と-る,300,,4
向,направление,コウ,む-く・む-ける・む-かう・む-こう ,301,,3
部,часть; отдел; отделение; экземпляр,ブ,―,302,,4
神,ками,シン・ジン,かみ,303,,3
内,внутри,ナイ・ダイ,うち,304,,4
相,взаимный,ソウ・ショウ,―,305,,3
葉,лист; листва,ヨウ,は,306,,3
全,целый,ゼン,すべ-て・まった-く,307,,4
現,появляться; реальность; нынешний,ゲン,あらわ-れる・あらわ-す,308,,3
平,плоский; ровный; обычный; простой,ヘイ,たいら・ひら,309,,3
笑,смех; улыбка,ショウ,わらう・えむ,310,,3
得,получать; понимать; прибыль,トク,え-る・う-る,311,,3
美,прекрасный; красивый,ビ,うつく-しい,312,美味しい・,3
次,следующий,シ・ジ,つ-ぎ・つ-ぐ,313,,3
夫,муж,フ・フウ,おっと,314,,3
対,противоположный,タイ,―,315,,3
情,чувства; обстоятельства,ジョウ,なさ-け,316,,3
表,выражать; поверхность; таблица,ヒョウ,おもて・あらわ-す,317,,3
落,падать; посёлок; юмор,ラク,お-ちる・お-とす,318,,3
性,пол; характер; натура,セイ・ショウ,―,319,,3
最,самый,サイ,もっと-も,320,,3
馬,лошадь,バ,うま,321,,3
等,равный; класс; разряд; суффикс множественного числа,トウ・ラ,ひと-しい・など,322,,3
形,форма; образ,ケイ・ギョウ,かたち・かた,323,,3
変,изменяться; странный; происшествие; несчастный случай,ヘン,か-わる・か-える,324,,4
込,переполненный; вкладывать; включать,―,こ-む・こ-める,325,,2
信,доверие; сигнал; сообщение,シン,―,326,,3
初,первый; начало,ショ,はじ-め・はつ,327,初恋・初日・,3
論,теория; рассуждать,ロン,―,328,,3
記,записывать,キ,しる-す,329,,3
直,прямой; исправлять; лечить; поправляться; сразу же; скоро,チョク・ジキ,なお-す・なお-る・ただ-ちに,330,,3
法,закон; метод; религия; мат. операции,ホウ,―,331,,3
達,достигать; доставлять; суффикс множественного числа,タツ・タチ,たっ-する,332,先生達・,3
活,живой; активный,カツ,い-きる・い-かす・い-ける,333,,3
結,узел; соединять; формировать,ケツ,むす-ぶ・ゆ-う,334,,3
点,точка; место; пункт,テン,つ-ける・つ-く,335,,3
流,течение,リュウ,なが-れる・なが-す,336,,3
和,гармония; Япония; смягчаться; смягчать,ワ,やわ-らぐ・なご-む,337,和食・和服・和室・,3
若,молодой; или же; или,ジャク,わか-い・も-しくは,338,,3
違,отличаться; ошибаться,イ,ちが-う,339,,3
底,дно,テイ,そこ,340,,3
想,мысль; представлять,ソウ,おも-う,341,,3
返,возвращать; ответ,ヘン,かえ-す・かえ-す,342,,4
愛,любовь; любимый; дорогой; бедный; жалкий ,アイ,いと-しい,343,,3
原,луг,ゲン,はら・もと,344,,3
他,другой,タ,ほか,345,,3
処,распоряжаться; наказание; место,ショ,ところ,346,,2
置,класть,チ,お-く,347,,3
化,изменяться; превращаться,カ・ケ,ば-ける,348,,3
命,жизнь; приказ,メイ・ミョウ,いのち,349,,3
数,цифра; число,スウ,かず・かぞ-える,350,,3
関,застава; барьер; иметь отношение,カン,かか-わる・せき,351,,3
付,присоединять,フ,つ-ける・つ-く,352,,3
解,развязывать; разбирать; понимать; разгадывать; расторгать,カイ,と-く・と-ける,353,,3
石,камень,セキ,いし,354,,3
常,обычный; постоянный,ジョウ,つね,355,,3
要,быть нужным; требоваться; важный; суть,ヨウ,い-る・かなめ,356,,3
苦,страдать,ク,くる-しい・にが-い,357,苦労・,3
定,определять,テイ・ジョウ,さだ-める・さだ-まる,358,,3
過,превышать; проходить мимо; проводить время; совершить ошибку; ошибка,カ,す-ぎる・す-ごす・あやま-ち,359,,3
戸,дверь,コ,と,360,,3
飛,летать,ヒ,とぶ,361,飛行機・飛び込む・,3
助,помощь,ジョ,たす-ける・たす-かる,362,,3
庫,хранилище; склад,コ,くら,363,,3
在,быть; существовать,ザイ,あ-る,364,,3
供,предоставлять,キョウ・ク,とも・そな-える,365,,2
申,говорить; докладывать,シン,もう-す,366,,3
兵,солдат,ヘイ,(つわもの),367,兵隊・,2
機,механизм; момент; состояние человека,キ,(はた),368,計算機・,3
深,глубокий; углубляться; углублять,シン,ふか-い・ふか-まる・ふか-める,369,,3
草,трава,ソウ,くさ,370,,3
決,решать,ケツ,き-める・き-まる,371,,4
張,натягивать,チョウ,は-る,372,,1
戦,война; сражение,セン,たたか-う・いくさ,373,,3
覚,помнить; чувство; ощущение; просыпаться,カク,おぼ-える・さ-ます・さ-める・さと-る,374,,3
呼,звать,コ,よ-ぶ,375,,4
由,причина,ユウ・ユ,よし,376,,3
必,неизбежный; обязательный,ヒツ,かなら-ず,377,,3
打,ударять,ダ,う-つ,378,,3
利,прибыль; выгода; острый,リ,き-く,379,,3
連,связь; вытягиваться цепью; ставить в ряд; брать с собой,レン,つ-れる・つら-なる,380,,4
余,излишек; слишком; оставаться в излишке,ヨ,あま-る・あま-り,381,,3
調,тон; выяснять; расследовать ,チョウ,しら-べる,382,,4
皆,все; всё,カイ,みな・みんな,383,,3
突,ударять; неожиданно,トツ,つ-く,384,,2
可,одобрять; возможный,カ,―,385,,3
根,корень,コン,ね,386,根元・,3
術,искусство; умение,ジュツ,(すべ),387,,3
老,старость,ロウ,お-いる・ふ-ける,388,老人・,3
治,управлять; лечить,チ・ジ,おさ-める・なお-す,389,,3
受,принимать; подвергаться,ジュ,う-ける,390,,4
念,мысль,ネン,―,391,,3
島,остров,トウ,しま,392,,3
種,семя; биол. вид,シュ,たね,393,,3
公,общественный,コウ・ク,おおやけ,394,,4
座,сидеть; место для сидения,ザ,すわ-る,395,,4
残,остаток,ザン,のこ-る・のこ-す・のこ-り,396,,4
殺,убить,サツ,ころ-す,397,殺人・殺人実験・人殺し・,3
船,корабль,セン,ふね・ふな-,398,船便・,3
恐,страх; бояться; страшный; бояться ,キョウ,おそ-れる・おそ-ろしい・こ わ-い・ こわ-がる,399,恐怖・,2
経,управлять; проходить,ケイ・キョウ,へ-る・た-つ,400,,3
観,вид; осматривать; взгляд,カン,み-る,401,,3
番,номер; сторож; пара (самец и самка),バン,つが-い,402,,3
存,существовать; сохраняться; знать; быть знакомым ,ソン・ゾン,そん-する・ぞん-じる,403,ご存知ですか?・,2
師,учитель; военный; суф. профессии,シ,―,404,教師・,3
伝,передавать; передаваться ,デン,つた-わる・つた-える,405,伝説・,4
式,церемония; стиль; формула,シキ,―,406,,3
寄,приближаться; подходить,キ,よ-る,407,,3
果,плод; выполнять; осуществлять; заканчиваться; конец; край,カ,は-たす・は-てる・は-て,408,果たす・果てる・果て・,3
程,мера; степень; расстояние; распорядок,テイ,ほど,409,,3
両,оба,リョウ,―,410,,3
横,горизонтальный; бок,オウ,よこ,411,,3
識,сознание; знание,シキ,―,412,,3
反,против; анти-; изгибаться ,ハン・タン,そ-る,413,,3
娘,дочь; девушка ,ジョウ,むすめ,414,,2
議,обсуждение; предложение,ギ,―,415,,3
軍,армия,グン,―,416,軍隊・,3
能,способность; действие; эффект,ノウ,よく,417,能力・,3
失,терять; убыток; ошибка,シツ,うしな-う,418,失敗・,3
路,дорога; путь,ロ,じ,419,,3
寝,ложиться спать,シン,ね-る,420,,4
非,не; плохой; неправильный,ヒ,―,421,,3
告,сообщать,コク,つ-げる,422,,3
細,мелкий; подробный; тонкий; узкий; сужаться,サイ,こま-かい・ほそ-い・ほそ-る,423,,3
共,вместе,キョウ,とも,424,,3
酒,алкоголь; сакэ,シュ,さけ,425,,3
婦,дама; замужняя женщина ,フ,―,426,,3
加,добавлять; прилагать; присоединяться; прибавляться,カ,くわ-える・くわ-わる,427,,3
際,край,サイ,きわ,428,,3
息,дыхание,ソク,いき,429,,3
指,палец; указывать,シ,ゆび・さ-す,430,,3
武,военный; военное дело,ブ・ム,―,431,武士・,3
判,личная печать; судить о чем-либо; разбираться,ハン・バン,はん-じる・わか-る,432,,3
支,филиал; подпирать; поддерживать; застревать; стопориться,シ,ささ-える・つか-える,433,,3
客,гость; клиент; посетитель,キャク、カク,―,434,,3
片,один из двух; листок; клочок; уладить; разобраться,ヘン,かた,435,片羽・片を付ける・,2
良,хороший,リョウ,よ-い・い-い,436,了解・,3
例,пример,レイ,たと-える,437,,3
雪,снег,セツ,ゆき,438,,3
望,желание; надежда,ボウ,のぞ-む,439,,3
王,правитель,オウ,―,440,,3
位,ранг; чин; звание,イ,くらい,441,,3
難,трудный; тяжелый;　невозможный,ナン,むずか-しい、かた-い,442,,2
政,политика,セイ,(まつりごと),443,政治・政治家・,3
芸,искусство; мастерство; талант,ゲイ,―,444,芸能・芸実・,3
胸,грудь; сердце; душа,キョウ,むね,445,,2
故,обстоятельства,コ・ク,ゆえ,446,,1
勢,сила; мощь; энергия; ход событий,セイ・ゼイ,いきお-い,447,,3
準,стандарт; полу,ジュン,―,448,,3
配,распределять,ハイ,くば-る,449,,3
階,этаж; ступень; уровень,カイ,―,450,,3
幸,счастье,コウ,しあわ-せ・さいわ-い・さち,451,,3
役,роль; обязанности,ヤク・エキ,―,452,役人・,3
絶,прекращаться; абсолютный,ゼツ,た-える・た-やす・た-つ,453,,3
巻,свиток; том; книга; свертывать; скручивать; заводить часы,カン・ケン,ま-き・ま-く,454,,2
渡,переправляться; переходить через; переправлять; передавать,ト,わた-る・わた-す,455,,2
段,ступень; стадия,ダン,―,456,段々・階段・,3
勝,побеждать; превосходить,ショウ,か-つ・まさ-る・すぐ-れる,457,勝つ・優勝する・,3
角,угол,カク,かど,458,,3
消,гасить; тушить; исчезать,ショウ,き-える・け-す,459,,4
制,контроль; ограничивать; система; строй,セイ,せい-する,460,制する・,3
奥,глубь,オウ,おく,461,,2
夢,сон; мечта,ム,ゆめ,462,,3
背,сзади; спина; рост; противоречить,ハイ,せ・せい・そむ-く,463,背く・,3
追,преследовать; следовать; прогонять,ツイ,お-う,464,,3
波,волна,ハ,なみ,465,,3
続,продолжаться,ゾク,つづ-く,466,,4
極,крайняя степень; полюса,ゴク・キョク,きわ-まる・きわ-める,467,,3
守,защищать,シュ,まも-る,468,,3
悲,печальный,ヒ,かな-しい・かな-しむ,469,,3
線,линия,セン,―,470,,4
限,предел; ограничивать,ゲン,かぎ-る・かぎ-り,471,,3
放,отпускать,ホウ,はな-す・はな-つ・はな-れる・ほう-る,472,,3
寺,буддийский храм,ジ,てら,473,,3
蔵,кладовая; склад,ゾウ,くら・ぞう-する,474,冷蔵庫・,2
精,жизненная энергия,セイ・ショウ,―,475,,3
断,отрезать; прерывать; утверждение; заключение,ダン,た-つ・ことわ-る,476,,3
格,разряд; ранг; положение,カク,―,477,,3
押,надавить,オウ,お-す・お-さえる,478,,3
容,вмещать; принимать; форма; вид,ヨウ,―,479,,3
類,сорт; сходство,ルイ,たぐい,480,,3
与,давать; предоставлять; участвовать,ヨ,あた-える,481,,2
静,тихий; спокойный,セイ,しず-か,482,,3
鳴,звучать; чирикать; щебетать; мычать и т. д.,メイ,な-く・な-る,483,,3
宿,гостиница; оставаться на ночь,シュク,やど・やど-る,484,宿る・,3
折,сгибать; ломать; ломаться; быть сломанным,セツ,お-れる・お-る,485,,3
遊,играть; развлекаться; путешествовать,ユウ,あそ-ぶ・あそ-ばす,486,遊園地・,3
浮,плавать; плавающий; нестабильный,フ,う-く・う-かべる,487,,2
久,долгий; продолжительный,キュウ,ひさ-しい,488,,3
庭,сад; двор,テイ,にわ,489,,3
妻,жена,サイ,つま,490,,3
史,история,シ,―,491,,3
忘,забывать,ボウ,わす-れる,492,,3
造,изготовлять,ゾウ,つく-る,493,,2
降,спускаться; выходить из транспорта; спускать; выпадать; идти (о дожде етк),コウ・ゴ,お-りる・ふ-る・お-ろす,494,,4
泣,плакать,キュウ,な-く,495,,3
談,разговор; беседа; рассказ,ダン,―,496,,3
側,сторона,ソク,かわ・がわ・そば,497,,3
科,Отделение; факультет; курс,カ,―,498,,3
舞,танец,ブ,まい・ま-う,499,,2
像,изображение,ゾウ,―,500,,3
交,пересекаться; общаться; обмениваться; быть смешанным; смешивать,コウ,まじ-わる・まじ-える・ま-ざる・ ま-ぜる ,501,,3
頼,просить; поручать; полагаться,ライ,たの-む・たよ-る,502,,2
異,отличаться,イ,こと,503,,1
越,пересекать,エツ,こ-す・こ-える,504,,3
谷,долина; ущелье,コク,たに,505,,3
志,намерение,シ,こころざし・こころざ-す,506,志・志す・,1
号,номер; знак,ゴウ,―,507,,3
熱,горячий; температура,ネツ,あつ-い,508,,3
象,слон; явление; объект,ショウ・ゾウ,かたど-る,509,象る・,3
確,определённый; достоверный,カク,たし-か・たし-かめる,510,,3
係,главный,ケイ,かかり、かか-る・かか-わる,511,,3
似,похожий,ジ,に-る,512,,3
血,кровь,ケツ,ち,513,,3
参,участвовать; приходить; идти; посетить,サン,まい-る,514,,3
組,команда,ソ,く-み・く-む,515,,3
逃,убежать; сбежать,トウ,に-げる・に-がす,516,,2
清,чистый,セイ・ショウ,きよい・きよ-まる・きよ-める,517,,2
吹,дуть,スイ,ふ-く,518,,3
満,полный,マン,み-ちる・み-たす,519,,3
件,дело; происшествие,ケン,―,520,,3
諸,различные; многие; все,ショ,―,521,,2
腹,живот,フク,はら・(なか),522,お腹・腹減った・,3
抜,вытаскивать; удалять; выниматься; выпадать; допускать промах; опускать,バツ・ハツ・ハイ,ぬ-く・ぬ-ける・ ぬ-かる・ぬ-かす,523,,2
許,разрешать,キョ,ゆる-す,524,,3
城,замок; крепость,ジョウ,しろ,525,,2
河,река,カ,かわ,526,,3
晩,вечер; поздний,バン,―,527,,3
将,генерал; вот-вот; почти что,ショウ,―,528,,2
雑,всякого рода; смешивать; быть смешанным,ザツ・ゾウ,ま-じる,529,雑じる・,3
昔,прошлое; в старину,セキ,むかし,530,,3
示,указывать на что-либо; показывать,ジ・シ,しめ-す,531,,3
窓,окно,ソウ,まど,532,,2
独,один; в одиночку; Германия,ドク,ひと-り,533,独身・,3
困,затруднение,コン,こま-る,534,,4
雲,облако,ウン,くも,535,,3
喜,радоваться,キ,よろこ-ぶ,536,,3
期,период времени,キ・ゴ,―,537,,3
官,чиновник; государственная служба,カン,―,538,,3
更,обновлять; ещё,コウ,さら-に・ふ-ける・ふ-かす,539,,2
暮,сумерки; конец дня; кончаться; смеркаться; жить; существовать; существование,ボ,く-らす・く-らし・くれ,540,一人暮らし・,2
並,средний; обычный; ставить в ряд; стоять в ряд; ряд; линия,ヘイ,な-み・なら-べる・なら-ぶ,541,,2
抱,обхватывать; обнимать; держать на руках; держать в услужении,ホウ,だ-く・いだ-く・かか-える,542,,2
曲,мелодия; сгибать; искривлять; сгибаться; искривляться,キョク,ま-げる・ま-がる,543,,3
冷,холодный,レイ,つめ-たい・ひ-える・さ-める,544,冷凍・,3
単,простой; отдельный; единичный,タン,―,545,簡単・,3
状,форма; положение; состояние; вид; послание,ジョウ,―,546,,3
痛,боль,ツウ,いた-い・いた-み,547,,3
薄,тонкий; бледный; слабый; разбавлять; уменьшаться,ハク,うす-い・うす-める・,548,,2
橋,мост,キョウ,はし,549,,3
裏,изнанка; оборотная сторона,リ,うら,550,,2
求,требовать; искать,キュウ,もと-める,551,,3
差,разница ,サ,—,552,差別・,3
保,сохранять; поддерживать; заботиться; ручаться,ホ,たも-つ,553,,1
具,принадлежности; орудие; оборудовать чем-либо ,グ,そな-える,554,道具・,3
