Кандзи,Значение,On,Kun,Номер,例,Level
児,дитя,ジ・ニ,こ,672,,2
刷,печатать,サツ,す-る,673,,3
束,связка; пучок,ソク,たば,674,,3
怖,страшный,フ,こわ-い,675,,2
園,сад,エン,その,676,,4
移,перемещаться; меняться,イ,うつ-る・うつ-す,677,　,3
普,обычный; всеобщий,フ,あまね-く,678,,2
易,лёгкий; торговля; гадание,エキ・イ,やさ-しい ・やす-い ,679,,3
境,граница; обстоятельства; состояние,キョウ,さかい,680,,3
湯,горячая вода,トウ,ゆ,681,,3
因,причина,イン,よ-る,682,原因・,3
枚,счётное слово для плоских предметов,マイ,―,683,,2
積,нагромождать; оценка,セキ,つ-む,684,,3
仮,временный; ненастоящий; предполагаемый,カ,かり,685,,
修,учиться; чинить,シュー,おさめる,686,,
章,глава (например; книги); значок; эмблема,ショー,―,687,,
訪,посещать,ホウ,おとず-れる・たず-ねる,688,,2
純,беспримесный; чистый,ジュン,じゅん-な,689,,2
才,талант,サイ,―,690,,3
荒,бурный; грубый; заброшенный,コウ,あら-い・あ-れる,691,,2
欲,желание; жадность,ヨク,ほ-しい,692,,2
印,знак; печать,イン,しるし,693,,3
晴,ясная погода,セイ,は-れる・は-れ,694,,3
沈,тонуть; погружаться,チン,しず-む・しず-める,695,,2
払,платить; чистить; усилительный суффикс,フツ,はら-う,696,,3
危,опасный,キ,あぶ-ない・あや-うい,697,,3
固,твёрдый,コ,かた-い,698,頑固・,3
尊,почитать; уважать,ソン,(たっと-い)・(とうと-い),699,,2
席,место для сидения; помещение; посещение,セキ,―,700,,4
軒,край крыши; дом,ケン,のき,701,,2
割,делить; разделять; уступать; соотношение величин,カツ,わり・わ-る・わ-れる ,702,,3
捨,выбрасывать,シャ,す-てる,703,,4
府,префектура; правительство,フ,―,704,,3
皮,кожа,ヒ,かわ,705,,3
群,группа; толпа,グン,むれ・む-れる,706,,2
備,запасать; оборудовать; готовиться,ビ,そな-える,707,,3
述,высказывать,ジュツ,の-べる,708,,2
著,автор; примечательный,チョ,あらわ-す・いちじる-しい,709,,2
令,приказ; вежливый префикс; указывающий на родство,レイ,―,710,,3
装,наряд; упаковка; снаряжать,ソウ,よそお-う,711,装備・,2
速,быстрый,ソク,はや-い,712,,3
迷,заблудиться; замешательство,メイ,まよ-う,713,,3
選,выбирать,セン,えら-ぶ,714,,3
値,величина; цена,チ,ね・あたい,715,,2
各,каждый,カク,おのおの,716,,3
灯,лампа; свет,トウ,—,717,,2
温,тёплый; температура,オン,あたた-かい,718,,3
技,навык,ギ,わざ,719,,
包,обёртывать; заворачивать,ホウ,つつ-む,720,,3
承,соглашаться; слушать; наследовать,ショウ,うけたまわ-る・う-ける,721,,2
資,средства; ресурсы; капитал,シ,―,722,,3
亡,покойный; смерть,ボウ,ない・な-くす・な-くなる,723,,2
勇,храбрость,ユウ,いさむ,724,,2
増,увеличивать(ся); прибавлять(ся);,ゾウ ,ふ-える・ふ-やす ,725,,3
互,взаимный ,ゴ,たが-い,726,,2
傾,наклон; наклоняться; быть склонным; наклонять; склонять,ケイ ,かたむ-く・かたむ-ける,727,,2
否,нет; отрицать,ヒ,いな・いや ,728,否と言う・否定・,2
詰,набивать; упакованный,キツ,つ-まる ・つ-む ,729,,2
吸,сосать; курить; высасывать,キュウ,す-う,730,,3
領,Территория ,リョウ,—,731,,2
列,ряд,レツ,—,732,,3
般,категория; род; вид; обычный ,ハン,—,733,一般人・,2
量,количество; вес; объём; измерять,リョウ,はか-る,734,,2
頂,вершина; пик; брать; получать; есть; пить,チョウ ,いただ-く・いただ-き,735,,2
農,сельское хозяйство,ノウ,―,736,農家・,3
虫,насекомое,チュウ,むし,737,,3
触,трогать; прикасаться; задевать; упоминать; распускать слухи,ショク,さわ-る・ふ-れる,738,,2
復,восстановление; снова; возвращаться к чему-л; возвращать себе,フク,また・ふく-する,739,,2
完,совершенный; безупречный; завершение,カン,―,740,,3
害,вред,ガイ,―,741,,3
層,слой; пласт; прослойка,ソウ,,742,,2
杯,чарка; чашка для сакэ; рюмка; сч. суффикс для выпитых рюмок ,ハイ,さかずき,743,,2
到,прибытие,トウ,いたる,744,到着・,2
輪,колесо; круг; кольцо,リン,わ,745,,3
荷,ноша; груз; багаж,カ,に,746,,3
刺,колоть,シ,さ-す・さ-さる,747,刺身・,2
迎,выходить на встречу; встречать; принимать у себя,ゲイ,むか-える,748,,2
箱,коробка,(ソウ),はこ,749,,3
浅,мелкий,セン,あさ-い,750,,2
貧,бедный; нуждающийся; скудный ,ヒン・ビン,まず-しい,751,貧乏・,2
暴,насилие; бушевать; буянить; раскрывать; разоблачать,ボウ,あば-れる,752,,2
総,общий; все; всё; полностью; управлять; объединять,ソウ,すべ-て ,753,総合・,2
敬,уважать,ケイ・キョウ,うやま-う,754,,2
閉,закрывать,ヘイ,と-じる・し-める,755,,4
埋,зарывать; хоронить; быть зарытым; быть засыпанным,マイ ,う-める・う-まる,756,,2
捕,ловить; схватить; арестовать; быть пойманным; быть охваченным,ホ,と-らえる・つか-まえる・と-らわれる・つか-まる・と-る,757,,2
批,criticism,,,758,,
逆,наоборот; противоположность; идти против,ギャク,さから-う・さか-さ,759,,2
臣,подданный,シン・ジン,―,760,,3
級,уровень; ранг,キュウ,―,761,,3
宅,Дом,タク,—,762,,2
泉,родник,セン,いずみ,763,,2
祭,фестиваль,サイ,まつ-り,764,,3
了,конец; понимать,リョウ,―,765,,2
依,зависеть от чего-л; прибегать к чему-л ,イ・エ,よ-る,766,,2
恥,стыд,チ,はじ・は-じる・は-ずかしい ,767,,2
珍,редкостный; необычный; диковинный,チン,めずら-しい ,768,,2
隅,внутренний угол,グウ,すみ,769,,2
植,сажать; сеять,ショク,う-える,770,,2
基,foundation,,,771,,
健,здоровый,,,772,,
震,дрожать; трястись; землетрясение,シン,ふる-える,773,,2
棒,палка; дубинка; шест; черта; линия,ボウ,—,774,,2
額,сумма; количество; картина в раме; лоб,ガク,ひたい,775,,2
砂,песок,サ,すな,776,,2
展,expand,,,777,,
疲,уставать,ヒ,つか-れる,778,,3
翌,следующий (день; месяц; год),ヨク,—,779,,2
猫,кошка,ビョウ,ねこ,780,,2
豊,обильный; богатый,ホウ,ゆた-か,781,,3
犯,преступник; нарушать; совершать преступление,ハン,おか-す,782,,3
被,подвергаться; надевать на голову; быть облитым; заслонять,ヒ,こうむ-る・かぶ-る・おお-う ,783,,2
油,масло,ユ,あぶら,784,,3
講,лекция ,コウ,—,785,,3
順,согласие,ジュン ,—,786,,2
憎,ненавидеть; ненавистный; противный; ненависть,ゾウ,にく-む・にく-い・にく-らしい・にく-しみ,787,,2
辞,отставка; слово; речь; обращение; уходить в отставку,ジ,や-める,788,,2
混,смешивать; подмешивать; быть смешанным,コン,ま-ぜる・ま-じる・ま-ざる,789,,3
欠,недостача; зевота; не хватать; недоставать; нуждаться,ケツ,か-ける・か-く,790,,3
姓,фамилия ,セイ,—,791,,2
泊,ночевать; оставаться на ночь; оставлять на ночь; сч. суф. ночевок,ハク,と-まる・と-める,792,,2
減,уменьшаться; стираться; уменьшать ,ゲン,へ-る・へ-らす,793,,2
召,вызывать; звать; посылать за кем-л ,ショウ,め-す,794,,2
袋,Мешок ,タイ,ふくろ,795,,2
